Serbian,Russian,Definition
zaboravi,забывать,"Забыть что-либо, перестать помнить о чем-то."
ostavi,оставлять,"Оставить что-то где-то или кого-то без внимания, ухода или заботы."
krv,кровь,"Жидкость, циркулирующая в организме человека и животных, отвечающая за транспортировку кислорода и питательных веществ."
telefon,телефон,Устройство для передачи звуковых сигналов на расстоянии.
sestra,сестра,"Женский родственник, имеющий общих родителей с другим человеком."
zvao,называется,"Звать - это призывать кого-либо, обращаясь к нему по имени или с просьбой подойти."
oboje,оба,"Оба человека или предмета, о которых идет речь."
rat,война,"Конфликт между государствами или группами, часто сопровождающийся насилием."
deset,десять,"Число, следующее за девятью и предшествующее одиннадцати."
bit,сущность,"Единица информации в вычислительной технике, равная двум состояниям."
traži,находясь в поиске,Искать или запрашивать что-либо.
kakve,какой вид,"Какой, какого рода или качества."
otvori,открыть,"Открыть что-либо, сделать доступным для входа или использования."
gdine,сэр,
nastavi,продолжать,Продолжать что-либо делать или развивать.
kim,тмин,
jedva,едва,"Едва означает ""с трудом"" или ""почти не""."
poziv,вызов,Призыв или приглашение к действию или участию в чем-либо.
poslao,отправил,Отправить что-либо кому-либо.
zanima,заинтересованы,"Занимать чем-либо, быть вовлечённым в какую-либо деятельность или интерес."
očigledno,очевидно,"Очевидно означает ""ясно"" или ""явно"", указывая на то, что что-то легко воспринимается или понимается."
svakako,конечно,"Безусловно, обязательно."
barem,по меньшей мере,
sasvim,полностью,"Совершенно, полностью, в полной мере."
red,ряд,"Цвет, ассоциирующийся с огнем и кровью, часто символизирующий страсть и опасность."
tokom,в течение,в течение определённого времени или процесса.
kasno,поздно,"Поздно, в значении времени, когда что-то происходит позже, чем ожидалось или запланировано."
misle,они думают,"Думать, размышлять, иметь мнение о чем-либо."
inače,в противном случае,В противном случае; в иных обстоятельствах.
postao,стал,"Стать кем-то или чем-то, изменить свое состояние или положение."
umesto,вместо,"вместо, в качестве замены или альтернативы чему-либо."
idu,они идут,"идти, перемещаться из одного места в другое."
stavi,помещать,поместить что-либо в определённое место или положение.
neverovatno,невероятный,Невероятно означает что-то удивительное или труднопонимаемое.
loš,плохой,"плохой, некачественный, неудачный."
desi,случаться,"случаться, происходить."
usta,рот,"Уста — это орган, расположенный на лице, используемый для приема пищи и речи."
ideju,идея,"Мысль или концепция, возникающая в сознании."
sliku,картина,"Изображение или представление чего-либо, часто в виде картины или фотографии."
znak,знак,"Знак — это символ или признак, указывающий на что-либо или обозначающий что-то."
mesec,месяц,"Единица времени, равная одному из двенадцати месяцев в году, или небесное тело, вращающееся вокруг Земли."
smeta,беспокоит,"Мешать, создавать помехи или неудобства."
veruj,полагать,"Верить в что-то или кого-то, доверять."
poklon,подарок,"Подарок, который дарят кому-либо в знак уважения или любви."
rođendan,день рождения,"День, когда человек родился, отмечаемый ежегодно."
dio,часть,"Часть чего-либо, элемент, составляющий целое."
čast,честь,"Достоинство, уважение и репутация человека в обществе."
nestao,исчезнувший,"Исчезнуть, пропасть, стать невидимым или недоступным."
pogled,вид,Взгляд или способ восприятия чего-либо.
vide,видеть,Увидеть что-то с помощью зрения.
lep,красивый,"Красивый, привлекательный, эстетически приятный."
ujutro,утром,"Утром, в первой половине дня после ночи."
dokaz,доказательство,"Доказательство, подтверждающее истинность или правдивость чего-либо."
nedostaje,отсутствующий,"Не хватает, отсутствует."
mozak,мозг,"Орган, отвечающий за управление функциями организма и обработку информации."
minut,минута,"Маленький промежуток времени, равный одной шестидесятой части часа."
okolo,вокруг,"Вокруг, вблизи, в окружении."
daje,дает,давать что-либо кому-либо или чему-либо.
zatim,затем,"Затем, после этого, в последующем."
takva,такой,"Такой, подобный, имеющий аналогичные характеристики или качества."
gubi,терять,"Терять, лишаться чего-либо."
нешто,что-нибудь,
glupo,глупый,"Глупый; неразумный, лишённый ума или здравого смысла."
moć,власть,"Сила, способность или власть что-либо делать."
sistem,система,"Система — это совокупность взаимосвязанных элементов, образующих целостное единство."
вас,ты,
bravo,отличная работа,"Молодец, хорошо сделано."
ulazi,входит,Входить или проникать в какое-либо место.
avion,самолет,"Самолет — это воздушное транспортное средство, предназначенное для перевозки людей и грузов."
zakon,закон,"Правило или норма, установленная государством или обществом, обязательная для исполнения."
postaje,становится,"Становиться, развиваться в что-то другое или достигать определенного состояния."
vjerojatno,вероятно,"Вероятно, это слово используется для обозначения чего-то, что имеет высокую степень вероятности или возможности."
она,она,
opusti,расслабляться,"Освободить от напряжения, расслабить."
male,маленький,"маленький, небольшой по размеру или количеству."
potrebe,потребности,Необходимость или желание что-то иметь или делать.
kul,прохладный,
agent,агент,"Лицо или организация, действующее от имени другого лица или организации для выполнения определённых задач."
prave,настоящий,Создавать или изготавливать что-либо.
umukni,замолчи,"Замолчать, прекратить говорить или издавать звуки."
duh,дух,"Дух — это нематериальная сущность, часто ассоциируемая с жизненной силой или сознанием."
ostao,остался,Означает оставаться на месте или в каком-либо состоянии.
prosto,просто,"Простой, легкий, несложный."
sunce,солнце,"Светило, которое является источником света и тепла для Земли."
jaja,яйца,"Яйцо — это овальная или круглой формы структура, содержащая зародыш и питательные вещества, обычно откладываемая птицами и некоторыми другими животными."
треба,должен,
onako,вот так,
umre,умирает,"Умереть — это прекратить существование, перестать жить."
korak,шаг,"Шаг, движение ноги вперед при ходьбе."
gleda,наблюдает,"Смотреть, наблюдать за чем-либо."
pada,падает,падать — перемещаться вниз под действием силы тяжести.
spava,спит,"Спать — это состояние отдыха, при котором организм временно отключает сознание и снижает активность."
odgovara,соответствует,"Соответствовать, быть подходящим или приемлемым для чего-либо."
pao,упал,падать или опускаться вниз.
prozor,окно,"Окно в стене или двери, предназначенное для пропуска света и воздуха."
ukrao,украл,Забрать чужое имущество без разрешения владельца.
gotov,законченный,"Готовый, завершённый, подготовленный к использованию или действию."
putem,кстати,Путем — это способ или метод достижения чего-либо.
govore,они говорят,"Говорить — это произносить слова, общаться с помощью речи."
sretan,счастливый,"Счастливый, радостный, испытывающий удовольствие."
brine,заботы,"Заботиться о ком-то или о чем-то, испытывать беспокойство."
otkad,с каких пор,С тех пор.
tajna,секрет,"Секретная информация или знание, доступное только ограниченному кругу лиц."
pomaže,помогает,Помогать кому-либо или чему-либо в выполнении задачи или преодолении трудностей.
veza,связь,"Связь между людьми, объектами или явлениями."
auta,автомобили,"Автомобиль, средство передвижения на колесах."
mozda,может быть,"Возможно, вероятно."
new,новый,"Новый; только что созданный, появившийся или возникший."
jezik,язык,"Язык — это система знаков и правил, используемая для общения между людьми."
trag,след,"След, отпечаток или признак чего-либо."
doveo,принес,Привести кого-то или что-то в определенное место или состояние.
stići,прибыть,Прибыть в какое-либо место или достичь чего-либо.
strah,страх,"Чувство тревоги или беспокойства, возникающее в ответ на угрозу или опасность."
hotel,отель,"Заведение, предоставляющее временное жилье и услуги для гостей."
hrana,еда,"Пища, необходимая для питания и поддержания жизни."
nikako,нисколько,Никак.
volio,любил,"Любить, испытывать сильные положительные чувства к кому-либо или чему-либо."
obitelj,семья,"Семья — это группа людей, связанных кровными узами или браком, живущих вместе и поддерживающих друг друга."
uopće,совсем,"Вообще, в целом, в общем."
igraš,ты играешь,"Играть — это участвовать в игре или развлекательной деятельности, проявляя активность и творчество."
dozvoli,позволять,Разрешить или позволить что-либо.
idiot,идиот,"Человек, обладающий низким уровнем интеллекта или совершающий глупые поступки."
mirno,спокойно,"Спокойно, без волнений или тревог."
davno,давно,"Давным-давно означает очень давно, в далеком прошлом."
devet,девять,Девять.
advokat,адвокат,"Юридический специалист, представляющий интересы клиентов в суде и других юридических инстанциях."
prsten,кольцо,"Кольцо, обычно из металла, которое носят на пальце как украшение или символ."
ocu,отцу,"Отец — это мужчина, который является родителем ребенка."
čisto,чистый,"Чистый, свободный от загрязнений или примесей."
знаш,ты знаешь,"Знаешь — это форма глагола ""знать"", означающая осведомленность о чем-либо."
nažalost,к сожалению,"К сожалению, это выражение используется для обозначения сожаления или печали по поводу чего-либо."
nos,нос,"Орган чувств, расположенный в центре лица, отвечающий за обоняние и дыхание."
lik,характер,"Образ или персонаж, представленный в литературе, искусстве или жизни."
dovraga,блин,
pripada,принадлежит,Принадлежать или быть частью чего-либо.
dopada,нравится,"попадать в какое-либо состояние или положение, испытывать влияние чего-либо."
pita,спрашивает,Спрашивать о чем-либо или интересоваться чем-то.
vani,снаружи,"Ванна — это большая емкость, предназначенная для купания."
odmor,отпуск,"Период времени, когда человек отдыхает и не работает."
ништа,ничего,Ничто; отсутствие чего-либо.
vazduh,воздух,"Газообразная смесь, заполняющая пространство вокруг нас и необходимая для дыхания."
odatle,оттуда,
mark,отметка,
tajne,секреты,
doma,дом,"Место, где человек живет или проживает."
razmisli,подумай об этом,"Обдумать что-либо, принять решение после размышлений."
pol,пол,Половина чего-либо.
nož,нож,"Острый инструмент с лезвием, используемый для резки."
vredi,это стоит,"значить что-то, иметь ценность или достоинство."
tišina,тишина,Состояние отсутствия звуков или шума.
novine,газета,"Средство массовой информации, публикующее новости и статьи."
izveštaj,отчет,"Доклад или сообщение, содержащие информацию о каком-либо событии или ситуации."
samnom,со мной,
predsednik,президент,"Глава государства или организации, занимающий высшую должность."
може,может,Может означать способность или возможность что-либо сделать.
ijudi,люди,
let,полет,
sme,осмелиться,иметь право или возможность что-либо делать.
gle,смотреть,
frank,франк,"Честный, открытый и прямолинейный в выражении своих мыслей и чувств."
ugovor,договор,"Договор — это юридический документ, устанавливающий обязательства и права сторон."
pokret,движение,"Движение или активность, направленная на достижение определенной цели."
pamet,умный,"Умственное состояние, позволяющее человеку мыслить, понимать и принимать решения."
detektiv,детектив,"Человек, занимающийся расследованием преступлений и сбором улик."
dug,долг,Длинный по протяженности или времени.
signal,сигнал,"Сигнал — это сообщение или знак, передаваемый для передачи информации или указания на действие."
zamisli,представлять себе,Представить себе что-то в воображении.
kartu,карта,"Карта — это плоское изображение местности, показывающее географические объекты и их расположение."
vest,новости,"Жилет или легкая куртка без рукавов, обычно носимая поверх рубашки."
otkaz,увольнение,Увольнение или прекращение трудовых отношений.
udarac,дуть,"Ударец — это резкое движение или действие, обычно связанное с физическим воздействием."
gospođa,леди,"Женщина, обладающая уважением или статусом, часто используемая как вежливое обращение."
tjedan,неделя,"Неделя — это период времени, равный семи дням."
majci,мать,"Мать, женщина, родившая или воспитывающая детей."
jutra,утро,"Утро — это время суток, наступающее после ночи и предшествующее дню."
била,был,
taksi,такси,"Автомобиль, предназначенный для перевозки пассажиров за плату."
jebena,бля,
veće,больше,Большой по размеру или значению.
motor,двигатель,"Устройство, преобразующее энергию в механическую работу."
молим,пожалуйста,"Прошу, пожалуйста."
jak,сильный,"Сильный, мощный или крепкий."
umoran,усталый,"Усталый, испытывающий физическую или умственную усталость."
sumnje,сомнения,Состояние неуверенности или недоверия к чему-либо.
ubija,убивает,"Убивать кого-либо или что-либо, причиняя смерть."
bob,боб,"Боб — это съедобные семена или плоды некоторых растений, обычно бобовых."
proveo,потраченный,"Провести - это осуществить, выполнить или провести какое-либо действие, мероприятие или процесс."
svetla,огни,"Светлое явление, излучаемое источниками света или отражаемое поверхностями."
osobe,лица,"Человек, обладающий индивидуальностью и сознанием."
strana,сторона,"Сторона, часть плоскости, ограниченная линиями или границами."
proveri,проверять,Проверить что-либо означает удостовериться в его правильности или достоверности.
hitno,срочно,"Срочно, безотлагательно, требующее немедленного внимания или действия."
preveo,переведено,Перевести — это изменить текст или речь с одного языка на другой.
situaciju,ситуация,"Состояние дел в определённый момент времени или обстоятельства, в которых находится человек или группа людей."
sazna,выяснить,"Узнать, получить информацию о чем-либо."
они,те,
govor,речь,"Речь, выражение мыслей и чувств с помощью слов."
valja,хорошо,Кататься или катить что-либо по поверхности.
droge,наркотики,"Вещество, которое изменяет психическое состояние человека и может вызывать зависимость."
koriste,использовать,Использовать что-либо для достижения цели или получения выгоды.
pijan,пьяный,"Пьяный — находящийся в состоянии опьянения, intoxicated."
kamen,камень,"Твёрдое природное вещество, образующееся в результате геологических процессов, обычно имеющее минералосостав."
miris,запах,"Запах или аромат, воспринимаемый органами обоняния."
heroj,герой,"Человек, совершающий подвиги или проявляющий мужество в трудных ситуациях."
odgovornost,ответственность,Ответственность за свои действия или решения.
bliže,ближе,"Близко - это наречие, означающее небольшое расстояние до чего-либо или кого-либо."
zapamti,помнить,"Запомнить что-либо, сохранить в памяти."
zabrinut,волновался,Означает испытывающий беспокойство или тревогу.
sredi,договариваться,"Привести в порядок, организовать или уладить что-либо."
momče,мальчик,Молодой человек или мальчик.
laž,ложь,Ложь — это намеренное искажение истины или предоставление неверной информации.
bolest,болезнь,"Заболевание или состояние, вызывающее физическую или психическую боль."
lek,лекарство,"Средство, используемое для лечения или профилактики заболеваний."
madam,мадам,"Женщина, обладающая высоким социальным статусом или титулом, часто используемая как вежливое обращение."
iko,любой,
mrzi,ненавидит,"Ненавидеть, испытывать сильное отрицательное чувство к кому-либо или чему-либо."
nedavno,недавно,"Недавно - это наречие, обозначающее время, которое произошло не так давно, в недавнем прошлом."
izađe,публично заявить,Выйти наружу или покинуть какое-либо место.
meta,цель,"Цель, на которую направлено действие или усилие."
bori,бои,"Сражаться или бороться за что-то, противостоять чему-либо."
сви,каждый,"Все, каждый, целиком."
snimak,запись,"Запись звука или изображения, сделанная с помощью технических средств."
glupost,ерунда,"Глупость — это отсутствие ума или здравого смысла, проявляющееся в неразумных поступках или суждениях."
tetka,тетя,"Тетя, сестра одного из родителей."
ukus,вкус,"Вкус — это ощущение, возникающее при восприятии пищи или напитков через вкусовые рецепторы."
predstavu,производительность,"Представление, спектакль или театральное действие, предназначенное для показа публике."
komad,кусок,"Часть чего-либо, отдельный фрагмент или кусок."
menja,изменения,Изменять что-либо на другое.
otprilike,примерно,"Приблизительно, не точно, но в общем."
cure,девушки,
сад,сейчас,
идемо,пойдем,"Идемо — форма глагола, означающая ""идти"" в первом лице множественного числа."
plati,платить,Заплатить деньги за что-либо.
iznenada,внезапно,"Внезапно, неожиданно, без предварительного предупреждения."
можеш,ты можешь,Ты можешь.
mogućnost,возможность,Способность или вероятность осуществления чего-либо.
mobilni,мобильный,"Подвижный, способный к движению или перемещению."
prolazi,проходит,Проходить мимо чего-либо или через что-либо.
borba,драться,"Борьба — это активное противостояние, сражение или усилие для достижения цели."
muči,мучение,Причинять страдания или боль кому-либо.
pojavi,появляться,"Появиться, возникнуть или стать видимым."
rej,луч,
član,член,"Часть целого, элемент, член группы или организации."
cenu,цена,"Цена — это количество денег, которое необходимо заплатить за товар или услугу."
grudi,грудь,"Груди — это часть тела человека или животного, расположенная между шеей и животом, содержащая легкие и сердце."
pisma,письма,"Письмо — это письменное сообщение, обычно адресованное кому-либо."
odnos,отношение,"Отношение между людьми, явлениями или предметами."
operacija,операция,"Операция — это медицинская процедура, направленная на лечение или диагностику заболеваний."
због,из-за,"Из-за, по причине чего-либо."
los,лось,
opasan,опасный,"Ограничивать или окружать что-либо, обычно с помощью веревки или другого материала."
fantastično,фантастический,"Удивительно, замечательно, выходящее за рамки обычного."
naročito,особенно,"Особенно, в значительной степени."
nagradu,награда,Награда — это вознаграждение за достижения или успехи.
trik,обманывать,"Умный прием или хитрость, используемые для достижения цели."
košta,расходы,"стоить, иметь цену."
pogodi,предполагать,"Ударить или попасть в цель, достигнуть чего-либо."
toni,тонн,"Единица измерения массы, равная 1000 килограммам."
đubre,мусор,"Мусор, отходы, нечистоты."
torbu,сумка,Сумка или мешок для переноски вещей.
ћемо,мы будем,
predstavlja,представляет,"Представлять означает демонстрировать, показывать или описывать что-либо."
razgovara,переговоры,Обсуждать или обмениваться мнениями с кем-либо.
izabrao,выбранный,Выбрать что-то из нескольких вариантов.
sekund,второй,"Единица времени, равная одной шестидесятой минуты."
gas,газ,"Газ — это вещество в газообразном состоянии, не имеющее фиксированного объема и формы."
ствари,вещи,"Вещи, предметы или объекты, которые могут быть материальными или нематериальными."
sreo,встретил,Встретить кого-либо или что-либо случайно.
poziva,звонки,Призывать кого-либо к действию или участию в чем-либо.
udari,ударять,"Ударить — это нанести удар, воздействовать на кого-либо или что-либо с силой."
odgovoran,ответственный,Ответственный за свои действия или обязательства.
mlad,молодой,"Молодой, юный, находящийся в раннем возрасте."
ortak,партнер,"Партнёр или товарищ, с которым делят что-то общее."
pantalone,брюки,"Штаны, одежда, закрывающая ноги и обычно состоящая из двух частей."
pesma,песня,"Музыкальное произведение, состоящее из слов и мелодии."
dvadeset,двадцать,"Двадцать — это число, следующее за девятнадцатью и предшествующее двадцать одному."
kurva,шлюха,Женщина легкого поведения; проститутка.
potez,двигаться,"Действие или движение, направленное на достижение какой-либо цели."
већ,уже,Уже.
неће,не будет,
lovu,деньги,"Деньги, особенно в контексте заработка или дохода."
vozila,транспортные средства,"Транспортное средство, предназначенное для передвижения людей или грузов."
ispravno,правильно,"Правильный, верный, соответствующий нормам или стандартам."
direktno,напрямую,"Прямо, без посредников или отклонений."
dobija,получает,Получать что-либо в результате действия или процесса.
kučka,сука,Собака женского пола.
ниси,ты не,
pobogu,ради бога,
sinko,сын,
direktor,директор,"Руководитель организации или учреждения, отвечающий за управление и принятие решений."
odjebi,отвали,"Отказаться от чего-либо, отвергнуть."
jeo,ел,Есть — это процесс потребления пищи.
vetar,ветер,"Воздух, движущийся в атмосфере, создающий ощущение прохлады или силы."
